id,split,text,label,label_name,num_tokens
1,test,we discussed the movie in class at home,1,neutral,8
2,test,this movie is truly poor at home,0,negative,7
3,train,the soundtrack sounds boring for us,0,negative,6
4,train,overall it feels surprisingly annoying today,0,negative,6
5,test,the soundtrack is available online today,1,neutral,6
6,train,the film was truly forgettable tonight,0,negative,6
7,test,the film was remarkably fun now,2,positive,6
8,train,this was a poor watch now,0,negative,6
9,test,this was a bad watch,0,negative,5
10,train,that scene was annoying for me,0,negative,6
11,train,the ending feels really fantastic,2,positive,5
12,train,this opening is on tv tonight,1,neutral,6
13,test,this movie is quite poor today,0,negative,6
14,train,this was a messy watch tonight,0,negative,6
15,train,the film is available online for us,1,neutral,7
16,train,this movie is quite great now,2,positive,6
17,train,overall it feels quite poor for me,0,negative,7
18,test,the ending feels surprisingly excellent for us,2,positive,7
19,train,this movie is really awful today,0,negative,6
20,train,they scheduled the scene for friday today,1,neutral,7
21,train,the film was absolutely bad now,0,negative,6
22,val,that soundtrack has two main actors,1,neutral,6
23,train,this was a messy watch at home,0,negative,7
24,test,that scene was messy today,0,negative,5
25,train,the ending feels clearly painful lately,0,negative,6
26,val,overall it feels very excellent now,2,positive,6
27,train,this movie is on tv tonight today,1,neutral,7
28,val,that soundtrack has two main actors this week,1,neutral,8
29,train,the ending feels truly excellent,2,positive,5
30,val,they scheduled the film for friday,1,neutral,6
31,train,the film was absolutely wonderful this week,2,positive,7
32,test,they scheduled the movie for friday this week,1,neutral,8
33,train,overall it feels very excellent at home,2,positive,7
34,train,the scene is available online now,1,neutral,6
35,train,the film was very brilliant right now,2,positive,7
36,train,i found this story lovely right now,2,positive,7
37,train,our teacher mentioned the opening today,1,neutral,6
38,train,overall it feels surprisingly brilliant this week,2,positive,7
39,train,the performance runs for ninety minutes,1,neutral,6
40,val,that scene was enjoyable at home,2,positive,6
41,val,the scene runs for ninety minutes for us,1,neutral,8
42,train,the soundtrack runs for ninety minutes at home,1,neutral,8
43,train,the dialogue is available online now,1,neutral,6
44,val,i think the plot is annoying this week,0,negative,8
45,train,this soundtrack is on tv tonight now,1,neutral,7
46,train,the film was clearly terrible today,0,negative,6
47,train,the film was really dreadful today,0,negative,6
48,test,this was a great watch,2,positive,5
49,test,overall it feels clearly bad for us,0,negative,7
50,val,i found this story wonderful for me,2,positive,7
51,train,the acting is quite dreadful this week,0,negative,7
52,train,i watched the soundtrack yesterday this week,1,neutral,7
53,train,the film was very forgettable,0,negative,5
54,train,the performance appears in the catalog,1,neutral,6
55,train,i found this story wonderful tonight,2,positive,6
56,train,the soundtrack sounds dreadful this week,0,negative,6
57,train,i found this story fantastic lately,2,positive,6
58,train,that movie has two main actors at home,1,neutral,8
59,train,the acting is quite amazing at home,2,positive,7
60,train,the ending feels absolutely annoying,0,negative,5
61,train,they scheduled the scene for friday,1,neutral,6
62,test,this story is on tv tonight now,1,neutral,7
63,test,this scene has a simple title,1,neutral,6
64,train,the soundtrack sounds heartwarming today,2,positive,5
65,train,i found this story amazing now,2,positive,6
66,train,that scene was fantastic at home,2,positive,6
67,train,the soundtrack sounds fantastic now,2,positive,5
68,train,overall it feels truly bad,0,negative,5
69,train,the acting is clearly poor for me,0,negative,7
70,train,they scheduled the opening for friday today,1,neutral,7
71,train,the ending feels truly terrible lately,0,negative,6
72,train,the acting is very heartwarming,2,positive,5
73,val,they scheduled the ending for friday at home,1,neutral,8
74,test,this was a terrible watch tonight,0,negative,6
75,train,the story starts after dinner now,1,neutral,6
76,val,this performance is on tv tonight today,1,neutral,7
77,train,the ending feels pretty fun at home,2,positive,7
78,train,the opening runs for ninety minutes at home,1,neutral,8
79,train,the ending is available online at home,1,neutral,7
80,test,this movie is absolutely brilliant,2,positive,5
81,train,this movie is surprisingly excellent for me,2,positive,7
82,train,overall it feels pretty heartwarming lately,2,positive,6
83,train,the ending feels truly forgettable right now,0,negative,7
84,train,this movie is very poor at home,0,negative,7
85,val,the ending includes three scenes this week,1,neutral,7
86,train,this was a bad watch at home,0,negative,7
87,val,the film was mostly great now,2,positive,6
88,test,that scene was messy for us,0,negative,6
89,val,the movie appears in the catalog now,1,neutral,7
90,test,our teacher mentioned the soundtrack today right now,1,neutral,8
91,val,the ending feels quite boring at home,0,negative,7
92,val,this performance has a simple title today,1,neutral,7
93,val,that scene was brilliant tonight,2,positive,5
94,train,this was a fun watch,2,positive,5
95,val,i found this story awful for us,0,negative,7
96,train,the opening includes three scenes now,1,neutral,6
97,train,the film is available online,1,neutral,5
98,train,the scene starts after dinner,1,neutral,5
99,train,i think the plot is lovely now,2,positive,7
100,train,the acting is truly heartwarming for us,2,positive,7
101,train,the movie runs for ninety minutes for us,1,neutral,8
102,train,our teacher mentioned the movie today this week,1,neutral,8
103,test,the soundtrack sounds dreadful for me,0,negative,6
104,train,they scheduled the ending for friday for us,1,neutral,8
105,train,i watched the story yesterday,1,neutral,5
106,test,that scene was fantastic,2,positive,4
107,train,the dialogue includes three scenes now,1,neutral,6
108,train,the movie appears in the catalog this week,1,neutral,8
109,train,the movie appears in the catalog today,1,neutral,7
110,train,the film runs for ninety minutes,1,neutral,6
111,train,the acting is surprisingly boring for me,0,negative,7
112,train,we discussed the film in class,1,neutral,6
113,train,the soundtrack sounds lovely tonight,2,positive,5
114,train,the ending feels very painful for me,0,negative,7
115,val,i think the plot is fantastic for us,2,positive,8
116,train,i watched the plot yesterday,1,neutral,5
117,val,this movie is pretty awful,0,negative,5
118,train,the performance starts after dinner this week,1,neutral,7
119,test,the acting is quite heartwarming for me,2,positive,7
120,train,we discussed the story in class today,1,neutral,7
121,val,i found this story fantastic at home,2,positive,7
122,val,the acting is remarkably annoying this week,0,negative,7
123,train,the film was really forgettable,0,negative,5
124,test,the film was remarkably messy for me,0,negative,7
125,train,the acting is absolutely forgettable,0,negative,5
126,train,i found this story brilliant tonight,2,positive,6
127,train,the ending appears in the catalog today,1,neutral,7
128,train,we discussed the performance in class now,1,neutral,7
129,train,this plot has a simple title,1,neutral,6
130,train,i think the plot is messy today,0,negative,7
131,train,the ending feels mostly messy at home,0,negative,7
132,test,the ending feels pretty painful at home,0,negative,7
133,test,the soundtrack sounds excellent tonight,2,positive,5
134,train,the acting is quite excellent,2,positive,5
135,val,i found this story fun lately,2,positive,6
136,train,our teacher mentioned the film today this week,1,neutral,8
137,train,the ending feels truly annoying at home,0,negative,7
138,train,i watched the performance yesterday for us,1,neutral,7
139,test,i found this story poor tonight,0,negative,6
140,train,overall it feels mostly lovely this week,2,positive,7
141,train,the soundtrack sounds poor,0,negative,4
142,train,this was a painful watch lately,0,negative,6
143,train,the soundtrack sounds heartwarming now,2,positive,5
144,test,they scheduled the soundtrack for friday for us,1,neutral,8
145,val,the plot starts after dinner,1,neutral,5
146,val,overall it feels remarkably poor lately,0,negative,6
147,train,the acting is remarkably wonderful for us,2,positive,7
148,train,they scheduled the opening for friday for us,1,neutral,8
149,train,i think the plot is awful,0,negative,6
150,train,this movie is really wonderful lately,2,positive,6
151,train,the film was quite poor at home,0,negative,7
152,train,the soundtrack sounds heartwarming right now,2,positive,6
153,train,that scene was terrible today,0,negative,5
154,train,the ending feels remarkably messy now,0,negative,6
155,train,the film was pretty messy now,0,negative,6
156,test,overall it feels really excellent,2,positive,5
157,test,that scene was brilliant at home,2,positive,6
158,train,the story includes three scenes now,1,neutral,6
159,train,i think the plot is brilliant tonight,2,positive,7
160,test,i found this story annoying right now,0,negative,7
161,train,the soundtrack is available online for us,1,neutral,7
162,test,this was a amazing watch this week,2,positive,7
163,train,i watched the ending yesterday,1,neutral,5
164,test,i found this story dreadful this week,0,negative,7
165,train,the acting is quite boring today,0,negative,6
166,test,our teacher mentioned the opening today this week,1,neutral,8
167,train,i found this story poor lately,0,negative,6
168,val,the acting is surprisingly enjoyable,2,positive,5
169,test,this plot is on tv tonight now,1,neutral,7
170,train,the opening includes three scenes,1,neutral,5
171,train,i think the plot is enjoyable,2,positive,6
172,train,the acting is really bad tonight,0,negative,6
173,test,the scene starts after dinner at home,1,neutral,7
174,train,this movie is very poor,0,negative,5
175,train,that scene was forgettable,0,negative,4
176,train,the opening is available online,1,neutral,5
177,train,the acting is very painful today,0,negative,6
178,train,i think the plot is lovely tonight,2,positive,7
179,val,i found this story excellent now,2,positive,6
180,train,the soundtrack sounds excellent,2,positive,4
181,train,the performance runs for ninety minutes today,1,neutral,7
182,train,the ending feels very awful for me,0,negative,7
183,train,this movie is remarkably great for us,2,positive,7
184,val,the movie starts after dinner this week,1,neutral,7
185,train,we discussed the performance in class for us,1,neutral,8
186,train,that scene was annoying for us,0,negative,6
187,train,i found this story heartwarming right now,2,positive,7
188,train,the acting is pretty painful for us,0,negative,7
189,test,this was a excellent watch this week,2,positive,7
190,train,that scene was amazing tonight,2,positive,5
191,train,this movie is mostly forgettable,0,negative,5
192,test,i found this story poor for me,0,negative,7
193,train,the acting is quite forgettable for me,0,negative,7
194,train,the movie is available online today,1,neutral,6
195,train,that scene was terrible tonight,0,negative,5
196,val,the soundtrack sounds wonderful,2,positive,4
197,train,the ending feels truly boring,0,negative,5
198,train,this movie is remarkably great tonight,2,positive,6
199,val,the opening appears in the catalog for us,1,neutral,8
200,val,i think the plot is terrible at home,0,negative,8
201,train,the film was very lovely today,2,positive,6
202,val,they scheduled the ending for friday,1,neutral,6
203,val,overall it feels remarkably messy lately,0,negative,6
204,train,overall it feels truly fantastic tonight,2,positive,6
205,val,the film was mostly wonderful lately,2,positive,6
206,train,the acting is very brilliant,2,positive,5
207,train,the film was surprisingly fantastic,2,positive,5
208,train,i think the plot is wonderful,2,positive,6
209,train,we discussed the story in class,1,neutral,6
210,train,the ending feels really fun lately,2,positive,6
211,train,the opening runs for ninety minutes today,1,neutral,7
212,train,this plot has a simple title right now,1,neutral,8
213,test,i watched the ending yesterday right now,1,neutral,7
214,train,the movie includes three scenes for us,1,neutral,7
215,train,the soundtrack sounds annoying for me,0,negative,6
216,test,the acting is quite dreadful for us,0,negative,7
217,val,this was a bad watch tonight,0,negative,6
218,train,overall it feels remarkably annoying for us,0,negative,7
219,train,the movie is available online right now,1,neutral,7
220,train,this was a fun watch lately,2,positive,6
221,test,the film was truly heartwarming for us,2,positive,7
222,train,the acting is very dreadful,0,negative,5
223,train,i think the plot is forgettable at home,0,negative,8
224,train,the story appears in the catalog right now,1,neutral,8
225,train,the film was remarkably annoying today,0,negative,6
226,train,we discussed the story in class at home,1,neutral,8
227,val,the ending feels very messy,0,negative,5
228,train,that scene was great now,2,positive,5
229,train,the performance is available online this week,1,neutral,7
230,train,overall it feels absolutely amazing at home,2,positive,7
231,train,the soundtrack is available online now,1,neutral,6
232,train,the ending feels quite messy,0,negative,5
233,train,they scheduled the dialogue for friday,1,neutral,6
234,train,this movie is remarkably messy for me,0,negative,7
235,train,the acting is mostly fantastic today,2,positive,6
236,train,this scene is on tv tonight,1,neutral,6
237,val,i found this story boring,0,negative,5
238,train,this was a great watch right now,2,positive,7
239,train,this movie is quite dreadful,0,negative,5
240,val,this was a bad watch right now,0,negative,7
241,train,this was a terrible watch today,0,negative,6
242,train,the soundtrack sounds forgettable at home,0,negative,6
243,train,that scene was wonderful now,2,positive,5
244,test,the ending feels quite painful this week,0,negative,7
245,train,i think the plot is fantastic,2,positive,6
246,train,the acting is really messy today,0,negative,6
247,train,they scheduled the performance for friday right now,1,neutral,8
248,test,the film was pretty wonderful today,2,positive,6
249,train,this performance is on tv tonight this week,1,neutral,8
250,train,this movie is really excellent now,2,positive,6
251,train,i found this story forgettable,0,negative,5
252,train,the acting is mostly bad,0,negative,5
253,train,i found this story bad lately,0,negative,6
254,train,the dialogue includes three scenes,1,neutral,5
255,train,this was a painful watch now,0,negative,6
256,train,i think the plot is enjoyable at home,2,positive,8
257,train,they scheduled the performance for friday,1,neutral,6
258,train,i found this story heartwarming at home,2,positive,7
259,val,this was a lovely watch lately,2,positive,6
260,test,the soundtrack sounds excellent for me,2,positive,6
261,val,this was a brilliant watch for us,2,positive,7
262,train,i found this story forgettable lately,0,negative,6
263,train,this film has a simple title now,1,neutral,7
264,test,that ending has two main actors today,1,neutral,7
265,train,the film was really wonderful right now,2,positive,7
